,month,state,cases_new,cases_recovered,cases_active,cases_unvax,cases_pvax,cases_fvax,cases_boost
165,2021-02,Pahang,804,2259,19400,804,0,0,0
166,2021-02,Perak,5114,3793,43614,5114,0,0,0
167,2021-02,Perlis,36,80,654,36,0,0,0
168,2021-02,Pulau Pinang,3640,4179,36708,3639,1,0,0
169,2021-02,Sabah,4018,6291,48848,4018,0,0,0
170,2021-02,Sarawak,5095,4891,49906,5095,0,0,0
171,2021-02,Selangor,31959,40424,467041,31958,1,0,0
172,2021-02,Terengganu,1054,1727,14573,1054,0,0,0
173,2021-02,W.P. Kuala Lumpur,9372,13862,139722,9371,1,0,0
174,2021-02,W.P. Labuan,106,217,1209,106,0,0,0
175,2021-02,W.P. Putrajaya,181,320,2732,181,0,0,0
176,2021-03,Johor,5298,8212,82823,5282,15,1,0
177,2021-03,Kedah,824,939,8195,816,8,0,0
178,2021-03,Kelantan,1368,1485,13513,1338,30,0,0
179,2021-03,Melaka,567,520,6260,565,2,0,0
180,2021-03,Negeri Sembilan,1459,3185,23030,1444,15,0,0
181,2021-03,Pahang,478,402,5407,477,1,0,0
182,2021-03,Perak,1745,3902,24791,1729,16,0,0
183,2021-03,Perlis,118,123,1082,116,2,0,0
184,2021-03,Pulau Pinang,4581,4322,36882,4561,20,0,0
185,2021-03,Sabah,1881,2368,21605,1856,25,0,0
186,2021-03,Sarawak,6845,6340,69649,6754,90,1,0
187,2021-03,Selangor,16185,19674,193990,16107,77,1,0
188,2021-03,Terengganu,397,565,4175,394,3,0,0
189,2021-03,W.P. Kuala Lumpur,2847,4021,39644,2825,18,4,0
190,2021-03,W.P. Labuan,75,60,470,75,0,0,0
191,2021-03,W.P. Putrajaya,80,89,824,80,0,0,0
192,2021-04,Johor,4122,3465,44379,4090,30,2,0
193,2021-04,Kedah,1489,1132,11775,1465,22,2,0
194,2021-04,Kelantan,7582,2915,58270,7434,90,58,0
195,2021-04,Melaka,832,807,8514,825,5,2,0
196,2021-04,Negeri Sembilan,1482,1113,13649,1472,9,1,0
197,2021-04,Pahang,912,688,10507,898,10,4,0
198,2021-04,Perak,1783,1585,16455,1775,5,3,0
199,2021-04,Perlis,34,31,306,32,0,2,0
200,2021-04,Pulau Pinang,3737,3805,31812,3708,26,3,0
201,2021-04,Sabah,3369,2850,29707,3343,22,4,0
202,2021-04,Sarawak,14269,11732,122570,14056,181,32,0
203,2021-04,Selangor,16812,14077,163349,16696,93,23,0
204,2021-04,Terengganu,600,424,4086,591,7,2,0
205,2021-04,W.P. Kuala Lumpur,5836,3407,53993,5788,35,13,0
206,2021-04,W.P. Labuan,125,145,1044,124,1,0,0
207,2021-04,W.P. Putrajaya,229,180,2179,223,5,1,0
208,2021-05,Johor,13006,8537,127675,12732,186,88,0
209,2021-05,Kedah,8985,5569,67074,8598,220,167,0
210,2021-05,Kelantan,13956,12390,150660,13407,295,254,0
211,2021-05,Melaka,4712,1916,36514,4583,78,51,0
212,2021-05,Negeri Sembilan,7555,3602,60289,7258,151,146,0
213,2021-05,Pahang,4399,1899,44758,4207,111,81,0
214,2021-05,Perak,5885,3828,45550,5694,110,81,0
215,2021-05,Perlis,147,73,981,138,4,5,0
216,2021-05,Pulau Pinang,8820,6796,70476,8661,120,39,0
217,2021-05,Sabah,4108,2978,34319,4007,69,32,0
218,2021-05,Sarawak,16670,15326,155944,16214,305,151,0
219,2021-05,Selangor,54036,35315,492605,52982,670,384,0
220,2021-05,Terengganu,4578,2548,35882,4373,119,86,0
221,2021-05,W.P. Kuala Lumpur,14998,10827,161220,14642,221,135,0
222,2021-05,W.P. Labuan,1269,112,6539,1141,103,25,0
223,2021-05,W.P. Putrajaya,520,342,4298,498,14,8,0
224,2021-06,Johor,12441,14184,172304,12101,225,115,0
225,2021-06,Kedah,6360,8313,71615,5976,221,163,0
226,2021-06,Kelantan,7023,12259,108345,6558,316,149,0
227,2021-06,Melaka,6329,6521,83078,6041,171,117,0
228,2021-06,Negeri Sembilan,18575,14948,196378,17472,484,619,0
229,2021-06,Pahang,4089,5164,56770,3850,107,132,0
230,2021-06,Perak,5994,6769,57230,5823,86,85,0
231,2021-06,Perlis,83,140,1284,79,2,2,0
232,2021-06,Pulau Pinang,5869,7857,61148,5708,104,57,0
233,2021-06,Sabah,7201,7497,65581,6787,283,131,0
234,2021-06,Sarawak,17522,18595,190127,15975,1320,227,0
235,2021-06,Selangor,61825,63210,756814,58735,2188,902,0
236,2021-06,Terengganu,2430,4371,32563,2292,76,62,0
237,2021-06,W.P. Kuala Lumpur,19024,18354,233069,17361,1240,423,0
238,2021-06,W.P. Labuan,4447,3929,56199,3941,308,198,0
239,2021-06,W.P. Putrajaya,410,531,4721,351,35,24,0
240,2021-07,Johor,19859,11961,200971,17857,1291,711,0
241,2021-07,Kedah,20362,10629,161969,17696,1694,972,0
